0	KMeans	10	-0.18455
1	KMeans	10	-0.17006
2	KMeans	10	-0.1734
3	KMeans	10	-0.19368
4	KMeans	10	-0.21073
0	KMeans	50	-0.14344
1	KMeans	50	-0.15875
2	KMeans	50	-0.17188
3	KMeans	50	-0.14259
4	KMeans	50	-0.19151
0	KMeans	100	-0.13845
1	KMeans	100	-0.16998
2	KMeans	100	-0.1266
3	KMeans	100	-0.13134
4	KMeans	100	-0.1807
0	KMeans	200	-0.18959
1	KMeans	200	-0.18255
2	KMeans	200	-0.18111
3	KMeans	200	-0.19044
4	KMeans	200	-0.18737
0	KMeans	300	-0.20289
1	KMeans	300	-0.21375
2	KMeans	300	-0.24269
3	KMeans	300	-0.22205
4	KMeans	300	-0.22546
0	GMM	10	-0.24566
1	GMM	10	-0.26643
2	GMM	10	-0.26782
3	GMM	10	-0.22259
4	GMM	10	-0.22413
0	GMM	50	-0.03103
1	GMM	50	-0.07393
2	GMM	50	-0.00826
3	GMM	50	-0.08331
4	GMM	50	-0.09037
0	GMM	100	-0.03845
1	GMM	100	-0.06755
2	GMM	100	-0.07213
3	GMM	100	-0.11412
4	GMM	100	-0.08356
0	GMM	200	-0.16878
1	GMM	200	-0.14215
2	GMM	200	-0.10187
3	GMM	200	-0.08731
4	GMM	200	-0.16402
0	GMM	300	-0.19811
1	GMM	300	-0.15528
2	GMM	300	-0.16093
3	GMM	300	-0.20543
4	GMM	300	-0.17696
0	from_file	300	0.17594
1	from_file	300	0.17594
2	from_file	300	0.17594
3	from_file	300	0.17594
4	from_file	300	0.17594
0	KMeans	150	-0.18825
1	KMeans	150	-0.21692
2	KMeans	150	-0.16826
3	KMeans	150	-0.17627
4	KMeans	150	-0.17857
0	GMM	150	-0.09408
1	GMM	150	-0.11332
2	GMM	150	-0.09205
3	GMM	150	-0.09686
4	GMM	150	-0.09529
